"ADV-Text1","Erreger","NRL"
"Salmonella Catanzaro","Salmonella Catanzaro","NRL-Salm"
"Salmonella Catumagos","Salmonella Catumagos","NRL-Salm"
"Salmonella Cayar","Salmonella Cayar","NRL-Salm"
"Salmonella Cerro O:6-,14-","Salmonella Cerro","NRL-Salm"
"Salmonella Ceyco","Salmonella Ceyco","NRL-Salm"
"Salmonella Chagoua","Salmonella Chagoua","NRL-Salm"
"Salmonella Champaign","Salmonella Champaign","NRL-Salm"
"Salmonella Chandans","Salmonella Chandans","NRL-Salm"
"Salmonella Charity","Salmonella Charity","NRL-Salm"
"Salmonella Charlottenburg","Salmonella Charlottenburg","NRL-Salm"
"Salmonella Cheltenham","Salmonella Cheltenham","NRL-Salm"
"Salmonella Chester O:5-","Salmonella Chester","NRL-Salm"
"Salmonella Chicago","Salmonella Chicago","NRL-Salm"
"Salmonella Chicago H:I+","Salmonella Chicago","NRL-Salm"
"Salmonella Chichester","Salmonella Chichester","NRL-Salm"
"Salmonella Chichiri","Salmonella Chichiri","NRL-Salm"
"Salmonella Chile","Salmonella Chile","NRL-Salm"
"Salmonella Chincol","Salmonella Chincol","NRL-Salm"
"Salmonella Chingola","Salmonella Chingola","NRL-Salm"
"Salmonella Chiredzi","Salmonella Chiredzi","NRL-Salm"
"Salmonella Chittagong","Salmonella Chittagong","NRL-Salm"
"Salmonella Choleraesuis v.Decatur","Salmonella Choleraesuis","NRL-Salm"
"Salmonella Choleraesuis v.Kunzendorf","Salmonella Choleraesuis","NRL-Salm"
"Salmonella Chomedey","Salmonella Chomedey","NRL-Salm"
"Salmonella Christiansborg","Salmonella Christiansborg","NRL-Salm"
"Salmonella Clackamas","Salmonella Clackamas","NRL-Salm"
"Salmonella Claibornei","Salmonella Claibornei","NRL-Salm"
"Salmonella Clanvillian","Salmonella Clanvillian","NRL-Salm"
"Salmonella Clerkenwell","Salmonella Clerkenwell","NRL-Salm"
"Salmonella Cleveland","Salmonella Cleveland","NRL-Salm"
"Salmonella Cochin","Salmonella Cochin","NRL-Salm"
"Salmonella Cocody","Salmonella Cocody","NRL-Salm"
"Salmonella Coeln","Salmonella Coeln","NRL-Salm"
"Salmonella Coleypark","Salmonella Coleypark","NRL-Salm"
"Salmonella Coleypark O:14+","Salmonella Coleypark","NRL-Salm"
"Salmonella Colobane","Salmonella Colobane","NRL-Salm"
"Salmonella Colombo","Salmonella Colombo","NRL-Salm"
"Salmonella Concord","Salmonella Concord","NRL-Salm"
"Salmonella Congo","Salmonella Congo","NRL-Salm"
"Salmonella Connecticut","Salmonella Connecticut","NRL-Salm"
"Salmonella Coogee","Salmonella Coogee","NRL-Salm"
"Salmonella Coquilhatville","Salmonella Coquilhatville","NRL-Salm"
"Salmonella Coromandel","Salmonella Coromandel","NRL-Salm"
"Salmonella Corvallis","Salmonella Corvallis","NRL-Salm"
"Salmonella Cotham","Salmonella Cotham","NRL-Salm"
"Salmonella Cotia","Salmonella Cotia","NRL-Salm"
"Salmonella Cremieu","Salmonella Cremieu","NRL-Salm"
"Salmonella Crewe","Salmonella Crewe","NRL-Salm"
"Salmonella Croft","Salmonella Croft","NRL-Salm"
"Salmonella Croft H:E+,N+,Z15+","Salmonella Croft","NRL-Salm"
"Salmonella Crossness","Salmonella Crossness","NRL-Salm"
"Salmonella Cubana","Salmonella Cubana","NRL-Salm"
"Salmonella Cuckmere","Salmonella Cuckmere","NRL-Salm"
"Salmonella Cullingworth","Salmonella Cullingworth","NRL-Salm"
"Salmonella Cumberland","Salmonella Cumberland","NRL-Salm"
"Salmonella Curacao","Salmonella Curacao","NRL-Salm"
"Salmonella Cyprus","Salmonella Cyprus","NRL-Salm"
"Salmonella Czernyring","Salmonella Czernyring","NRL-Salm"
"Salmonella Daarle","Salmonella Daarle","NRL-Salm"
"Salmonella Dabou","Salmonella Dabou","NRL-Salm"
"Salmonella Dadzie","Salmonella Dadzie","NRL-Salm"
"Salmonella Dahlem","Salmonella Dahlem","NRL-Salm"
"Salmonella Dahomey","Salmonella Dahomey","NRL-Salm"
"Salmonella Dahra","Salmonella Dahra","NRL-Salm"
"Salmonella Dakar","Salmonella Dakar","NRL-Salm"
"Salmonella Dakota","Salmonella Dakota","NRL-Salm"
"Salmonella Dallgow","Salmonella Dallgow","NRL-Salm"
"Salmonella Damman","Salmonella Damman","NRL-Salm"
"Salmonella Dan","Salmonella Dan","NRL-Salm"
"Salmonella Dapango","Salmonella Dapango","NRL-Salm"
"Salmonella Daula","Salmonella Daula","NRL-Salm"
"Salmonella Daytona","Salmonella Daytona","NRL-Salm"
"Salmonella Deckstein","Salmonella Deckstein","NRL-Salm"
"Salmonella Delmenhorst","Salmonella Delmenhorst","NRL-Salm"
"Salmonella Dembe","Salmonella Dembe","NRL-Salm"
"Salmonella Demerara","Salmonella Demerara","NRL-Salm"
"Salmonella Denver","Salmonella Denver","NRL-Salm"
"Salmonella Derby O:5-","Salmonella Derby","NRL-Salm"
"Salmonella Derkle","Salmonella Derkle","NRL-Salm"
"Salmonella Dessau","Salmonella Dessau","NRL-Salm"
"Salmonella Deversoir","Salmonella Deversoir","NRL-Salm"
"Salmonella Dibra","Salmonella Dibra","NRL-Salm"
"Salmonella Dieuppeul","Salmonella Dieuppeul","NRL-Salm"
"Salmonella Diguel","Salmonella Diguel","NRL-Salm"
"Salmonella Diogoye","Salmonella Diogoye","NRL-Salm"
"Salmonella Diourbel","Salmonella Diourbel","NRL-Salm"
"Salmonella Djakarta","Salmonella Djakarta","NRL-Salm"
"Salmonella Djama","Salmonella Djama","NRL-Salm"
"Salmonella Djelfa","Salmonella Djelfa","NRL-Salm"
"Salmonella Djermaia","Salmonella Djermaia","NRL-Salm"
"Salmonella Djibouti","Salmonella Djibouti","NRL-Salm"
"Salmonella Djugu","Salmonella Djugu","NRL-Salm"
"Salmonella Doba","Salmonella Doba","NRL-Salm"
"Salmonella Doel","Salmonella Doel","NRL-Salm"
"Salmonella Doncaster","Salmonella Doncaster","NRL-Salm"
"Salmonella Donna","Salmonella Donna","NRL-Salm"
"Salmonella Doorn","Salmonella Doorn","NRL-Salm"
"Salmonella Douala","Salmonella Douala","NRL-Salm"
"Salmonella Dougi","Salmonella Dougi","NRL-Salm"
"Salmonella Doulassame","Salmonella Doulassame","NRL-Salm"
"Salmonella Dresden","Salmonella Dresden","NRL-Salm"
"Salmonella Driffield","Salmonella Driffield","NRL-Salm"
"Salmonella Drogana","Salmonella Drogana","NRL-Salm"
"Salmonella Duesseldorf","Salmonella Duesseldorf","NRL-Salm"
"Salmonella Dugbe","Salmonella Dugbe","NRL-Salm"
"Salmonella Duisburg 1,27;E,N,Z15-Neg","Salmonella Duisburg","NRL-Salm"
"Salmonella Dumfries","Salmonella Dumfries","NRL-Salm"
"Salmonella Dunkwa","Salmonella Dunkwa","NRL-Salm"
"Salmonella Durban","Salmonella Durban","NRL-Salm"
"Salmonella Durban O:1 +","Salmonella Durban","NRL-Salm"
"Salmonella Durham","Salmonella Durham","NRL-Salm"
"Salmonella Duval","Salmonella Duval","NRL-Salm"
"Salmonella Ealing","Salmonella Ealing","NRL-Salm"
"Salmonella Eastbourne","Salmonella Eastbourne","NRL-Salm"
"Salmonella Eastglam","Salmonella Eastglam","NRL-Salm"
"Salmonella Eberswalde","Salmonella Eberswalde","NRL-Salm"
"Salmonella Eboko","Salmonella Eboko","NRL-Salm"
"Salmonella Ebrie","Salmonella Ebrie","NRL-Salm"
"Salmonella Echa","Salmonella Echa","NRL-Salm"
"Salmonella Ede","Salmonella Ede","NRL-Salm"
"Salmonella Edinburg","Salmonella Edinburg","NRL-Salm"
"Salmonella Edinburg O:14+","Salmonella Edinburg","NRL-Salm"
"Salmonella Edmonton","Salmonella Edmonton","NRL-Salm"
"Salmonella Egusi","Salmonella Egusi","NRL-Salm"
"Salmonella Egusitoo","Salmonella Egusitoo","NRL-Salm"
"Salmonella Eingedi","Salmonella Eingedi","NRL-Salm"
"Salmonella Eko","Salmonella Eko","NRL-Salm"
"Salmonella Ekotedo","Salmonella Ekotedo","NRL-Salm"
"Salmonella Ekpoui","Salmonella Ekpoui","NRL-Salm"
"Salmonella Elbeuf","Salmonella Elbeuf","NRL-Salm"
"Salmonella Elisabethville","Salmonella Elisabethville","NRL-Salm"
"Salmonella Elisabethville O:10-,15+","Salmonella Elisabethville","NRL-Salm"
"Salmonella Elokate","Salmonella Elokate","NRL-Salm"
"Salmonella Elomrane","Salmonella Elomrane","NRL-Salm"
"Salmonella Emmastad","Salmonella Emmastad","NRL-Salm"
"Salmonella Encino","Salmonella Encino","NRL-Salm"
"Salmonella Enschede","Salmonella Enschede","NRL-Salm"
"Salmonella Entebbe","Salmonella Entebbe","NRL-Salm"
"Salmonella Enteritidis -:G,M:-","Salmonella Enteritidis","NRL-Salm"
"Salmonella Enteritidis H:1+,7+","Salmonella Enteritidis","NRL-Salm"
"Salmonella Enteritidis H:F+","Salmonella Enteritidis","NRL-Salm"
"Salmonella Enteritidis H:P+","Salmonella Enteritidis","NRL-Salm"
"Salmonella Enugu","Salmonella Enugu","NRL-Salm"
"Salmonella Epicrates","Salmonella Epicrates","NRL-Salm"
"Salmonella Epinay","Salmonella Epinay","NRL-Salm"
"Salmonella Escanaba","Salmonella Escanaba","NRL-Salm"
"Salmonella Eschberg","Salmonella Eschberg","NRL-Salm"
"Salmonella Eschweiler","Salmonella Eschweiler","NRL-Salm"
"Salmonella Etterbeek","Salmonella Etterbeek","NRL-Salm"
"Salmonella Euston","Salmonella Euston","NRL-Salm"
"Salmonella Everleigh","Salmonella Everleigh","NRL-Salm"
"Salmonella Ezra","Salmonella Ezra","NRL-Salm"
"Salmonella Fairfield","Salmonella Fairfield","NRL-Salm"
"Salmonella Fajara","Salmonella Fajara","NRL-Salm"
"Salmonella Faji","Salmonella Faji","NRL-Salm"
"Salmonella Falkensee O:10-,15+","Salmonella Falkensee","NRL-Salm"
"Salmonella Fallowfield","Salmonella Fallowfield","NRL-Salm"
"Salmonella Fann","Salmonella Fann","NRL-Salm"
"Salmonella Fanti","Salmonella Fanti","NRL-Salm"
"Salmonella Farakan","Salmonella Farakan","NRL-Salm"
"Salmonella Farcha","Salmonella Farcha","NRL-Salm"
"Salmonella Fareham","Salmonella Fareham","NRL-Salm"
"Salmonella Farmsen","Salmonella Farmsen","NRL-Salm"
"Salmonella Farsta","Salmonella Farsta","NRL-Salm"
"Salmonella Fass","Salmonella Fass","NRL-Salm"
"Salmonella Fayed","Salmonella Fayed","NRL-Salm"
"Salmonella Ferlo","Salmonella Ferlo","NRL-Salm"
"Salmonella Ferruch","Salmonella Ferruch","NRL-Salm"
"Salmonella Fillmore","Salmonella Fillmore","NRL-Salm"
"Salmonella Finaghy","Salmonella Finaghy","NRL-Salm"
"Salmonella Findorff","Salmonella Findorff","NRL-Salm"
"Salmonella Finkenwerder","Salmonella Finkenwerder","NRL-Salm"
"Salmonella Fischerhuette","Salmonella Fischerhuette","NRL-Salm"
"Salmonella Fischerkietz","Salmonella Fischerkietz","NRL-Salm"
"Salmonella Fischerstrasse","Salmonella Fischerstrasse","NRL-Salm"
"Salmonella Fitzroy","Salmonella Fitzroy","NRL-Salm"
"Salmonella Florian","Salmonella Florian","NRL-Salm"
"Salmonella Florian O:10-,15+","Salmonella Florian","NRL-Salm"
"Salmonella Florida","Salmonella Florida","NRL-Salm"
"Salmonella Flottbek","Salmonella Flottbek","NRL-Salm"
"Salmonella Fluntern","Salmonella Fluntern","NRL-Salm"
"Salmonella Fomeco","Salmonella Fomeco","NRL-Salm"
"Salmonella Fortlamy","Salmonella Fortlamy","NRL-Salm"
"Salmonella Fortune","Salmonella Fortune","NRL-Salm"
"Salmonella Franken","Salmonella Franken","NRL-Salm"
"Salmonella Frankfurt","Salmonella Frankfurt","NRL-Salm"
"Salmonella Freefalls","Salmonella Freefalls","NRL-Salm"
"Salmonella Freetown","Salmonella Freetown","NRL-Salm"
"Salmonella Freiburg","Salmonella Freiburg","NRL-Salm"
"Salmonella Fresno","Salmonella Fresno","NRL-Salm"
"Salmonella Fresno O:12+,34+","Salmonella Fresno","NRL-Salm"
"Salmonella Friedenau","Salmonella Friedenau","NRL-Salm"
"Salmonella Friedrichsfelde","Salmonella Friedrichsfelde","NRL-Salm"
"Salmonella Frintrop","Salmonella Frintrop","NRL-Salm"
"Salmonella Fufu","Salmonella Fufu","NRL-Salm"
"Salmonella Fulda","Salmonella Fulda","NRL-Salm"
"Salmonella Fulica","Salmonella Fulica","NRL-Salm"
"Salmonella Fyris","Salmonella Fyris","NRL-Salm"
"Salmonella Gabon","Salmonella Gabon","NRL-Salm"
"Salmonella Gafsa","Salmonella Gafsa","NRL-Salm"
"Salmonella Galiema","Salmonella Galiema","NRL-Salm"
"Salmonella Galiema O:14+","Salmonella Galiema","NRL-Salm"
"Salmonella Galil","Salmonella Galil","NRL-Salm"
"Salmonella Gallen","Salmonella Gallen","NRL-Salm"
"Salmonella Gamaba","Salmonella Gamaba","NRL-Salm"
"Salmonella Gamaba Diphas. Var:","Salmonella Gamaba","NRL-Salm"
"Salmonella Gamaba O:1+,H:S-","Salmonella Gamaba","NRL-Salm"
"Salmonella Gambaga","Salmonella Gambaga","NRL-Salm"
"Salmonella Gambia","Salmonella Gambia","NRL-Salm"
"Salmonella Gaminara","Salmonella Gaminara","NRL-Salm"
"Salmonella Garba","Salmonella Garba","NRL-Salm"
"Salmonella Garoli","Salmonella Garoli","NRL-Salm"
"Salmonella Gassi","Salmonella Gassi","NRL-Salm"
"Salmonella Gateshead","Salmonella Gateshead","NRL-Salm"
"Salmonella Gatineau","Salmonella Gatineau","NRL-Salm"
"Salmonella Gatow","Salmonella Gatow","NRL-Salm"
"Salmonella Gatuni","Salmonella Gatuni","NRL-Salm"
"Salmonella Gbadago","Salmonella Gbadago","NRL-Salm"
"Salmonella Gbadago O:10-,15+","Salmonella Gbadago","NRL-Salm"
"Salmonella Gdansk O:14+","Salmonella Gdansk","NRL-Salm"
"Salmonella Gege","Salmonella Gege","NRL-Salm"
"Salmonella Georgia","Salmonella Georgia","NRL-Salm"
"Salmonella Gera","Salmonella Gera","NRL-Salm"
"Salmonella Geraldton","Salmonella Geraldton","NRL-Salm"
"Salmonella Ghana","Salmonella Ghana","NRL-Salm"
"Salmonella Giessen","Salmonella Giessen","NRL-Salm"
"Salmonella Give O:10-,15+","Salmonella Give","NRL-Salm"
"Salmonella Give O:10-,15+,34+","Salmonella Give","NRL-Salm"
"Salmonella Giza","Salmonella Giza","NRL-Salm"
"Salmonella Giza O:20+","Salmonella Giza","NRL-Salm"
"Salmonella Glasgow","Salmonella Glasgow","NRL-Salm"
"Salmonella Glidji","Salmonella Glidji","NRL-Salm"
"Salmonella Glostrup","Salmonella Glostrup","NRL-Salm"
"Salmonella Gloucester","Salmonella Gloucester","NRL-Salm"
"Salmonella Gnesta","Salmonella Gnesta","NRL-Salm"
"Salmonella Godesberg","Salmonella Godesberg","NRL-Salm"
"Salmonella Godesberg H:T+","Salmonella Godesberg","NRL-Salm"
"Salmonella Goelzau","Salmonella Goelzau","NRL-Salm"
"Salmonella Goelzau O:10-,15+","Salmonella Goelzau","NRL-Salm"
"Salmonella Goeteborg","Salmonella Goeteborg","NRL-Salm"
"Salmonella Goettingen","Salmonella Goettingen","NRL-Salm"
"Salmonella Gokul","Salmonella Gokul","NRL-Salm"
"Salmonella Goma","Salmonella Goma","NRL-Salm"
"Salmonella Gombe","Salmonella Gombe","NRL-Salm"
"Salmonella Gombe O:14+","Salmonella Gombe","NRL-Salm"
"Salmonella Good","Salmonella Good","NRL-Salm"
"Salmonella Gori","Salmonella Gori","NRL-Salm"
"Salmonella Goulfey","Salmonella Goulfey","NRL-Salm"
"Salmonella Gouloumbo","Salmonella Gouloumbo","NRL-Salm"
"Salmonella Goverdhan","Salmonella Goverdhan","NRL-Salm"
"Salmonella Gozo","Salmonella Gozo","NRL-Salm"
"Salmonella Grampian","Salmonella Grampian","NRL-Salm"
"Salmonella Grancanaria","Salmonella Grancanaria","NRL-Salm"
"Salmonella Grancanaria H:1+,6+","Salmonella Grancanaria","NRL-Salm"
"Salmonella Grandhaven","Salmonella Grandhaven","NRL-Salm"
"Salmonella Granlo","Salmonella Granlo","NRL-Salm"
"Salmonella Graz","Salmonella Graz","NRL-Salm"
"Salmonella Greiz","Salmonella Greiz","NRL-Salm"
"Salmonella Groenekan","Salmonella Groenekan","NRL-Salm"
"Salmonella Grumpensis","Salmonella Grumpensis","NRL-Salm"
"Salmonella Grumpensis O:1+","Salmonella Grumpensis","NRL-Salm"
"Salmonella -Gruppe 51-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 52-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 53-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 54-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 55-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 56-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 57-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 58-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 59-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 60-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 61-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 62-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 63-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 65-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 66-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe 67-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe A-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe B-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe C1-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe C2-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe C3-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe D1-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe D2-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe D3-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe E1-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe E4-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe F-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe G-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe H-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe I-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe J-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe K-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe L-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe M-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe N-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe O-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe P-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe Q-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe R-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe S-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe T-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe U-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe V-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe W-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe X-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe Y-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella -Gruppe Z-O-Form","Salmonella -Gruppe","NRL-Salm"
"Salmonella Guarapiranga","Salmonella Guarapiranga","NRL-Salm"
"Salmonella Guerin","Salmonella Guerin","NRL-Salm"
"Salmonella Guildford","Salmonella Guildford","NRL-Salm"
"Salmonella Guinea","Salmonella Guinea","NRL-Salm"
"Salmonella Guinea H:1-,7-","Salmonella Guinea","NRL-Salm"
"Salmonella Guinea O:1+","Salmonella Guinea","NRL-Salm"
"Salmonella Gustavia","Salmonella Gustavia","NRL-Salm"
"Salmonella Gwale","Salmonella Gwale","NRL-Salm"
"Salmonella Gwoza","Salmonella Gwoza","NRL-Salm"
"Salmonella Haardt","Salmonella Haardt","NRL-Salm"
"Salmonella Hadejia","Salmonella Hadejia","NRL-Salm"
"Salmonella Haduna","Salmonella Haduna","NRL-Salm"
"Salmonella Haduna H:Z28+","Salmonella Haduna","NRL-Salm"
"Salmonella Haelsingborg","Salmonella Haelsingborg","NRL-Salm"
"Salmonella Haelsingborg H:U-","Salmonella Haelsingborg","NRL-Salm"
"Salmonella Haferbreite","Salmonella Haferbreite","NRL-Salm"
"Salmonella Haga","Salmonella Haga","NRL-Salm"
"Salmonella Haifa","Salmonella Haifa","NRL-Salm"
"Salmonella Haifa O:5-","Salmonella Haifa","NRL-Salm"
"Salmonella Halle","Salmonella Halle","NRL-Salm"
"Salmonella Hallfold","Salmonella Hallfold","NRL-Salm"
"Salmonella Handen","Salmonella Handen","NRL-Salm"
"Salmonella Hann","Salmonella Hann","NRL-Salm"
"Salmonella Hannover","Salmonella Hannover","NRL-Salm"
"Salmonella Haouaria","Salmonella Haouaria","NRL-Salm"
"Salmonella Harburg","Salmonella Harburg","NRL-Salm"
"Salmonella Harburg O:1-,25-","Salmonella Harburg","NRL-Salm"
"Salmonella Harcourt","Salmonella Harcourt","NRL-Salm"
"Salmonella Harleystreet","Salmonella Harleystreet","NRL-Salm"
"Salmonella Harrisonburg","Salmonella Harrisonburg","NRL-Salm"
"Salmonella Harrisonburg O:10-,15+","Salmonella Harrisonburg","NRL-Salm"
"Salmonella Harrisonburg O:10-,15+34+","Salmonella Harrisonburg","NRL-Salm"
"Salmonella Hartford","Salmonella Hartford","NRL-Salm"
"Salmonella Harvestehude","Salmonella Harvestehude","NRL-Salm"
"Salmonella Hatfield","Salmonella Hatfield","NRL-Salm"
"Salmonella Hato","Salmonella Hato","NRL-Salm"
"Salmonella Hayindogo","Salmonella Hayindogo","NRL-Salm"
"Salmonella Heerlen","Salmonella Heerlen","NRL-Salm"
"Salmonella Hegau","Salmonella Hegau","NRL-Salm"
"Salmonella Heidelberg O:5-","Salmonella Heidelberg","NRL-Salm"
"Salmonella Hemingford","Salmonella Hemingford","NRL-Salm"
"Salmonella Hermannswerder","Salmonella Hermannswerder","NRL-Salm"
"Salmonella Heron","Salmonella Heron","NRL-Salm"
"Salmonella Herston","Salmonella Herston","NRL-Salm"
"Salmonella Herzliya","Salmonella Herzliya","NRL-Salm"
"Salmonella Heves","Salmonella Heves","NRL-Salm"
"Salmonella Hidalgo","Salmonella Hidalgo","NRL-Salm"
"Salmonella Hidalgo H:I+","Salmonella Hidalgo","NRL-Salm"
"Salmonella Hiduddify","Salmonella Hiduddify","NRL-Salm"
"Salmonella Hillegersberg","Salmonella Hillegersberg","NRL-Salm"
"Salmonella Hillingdon","Salmonella Hillingdon","NRL-Salm"
"Salmonella Hillsborough","Salmonella Hillsborough","NRL-Salm"
"Salmonella Hilversum","Salmonella Hilversum","NRL-Salm"
"Salmonella Hindmarsh","Salmonella Hindmarsh","NRL-Salm"
"Salmonella Hindmarsh O:20-","Salmonella Hindmarsh","NRL-Salm"
"Salmonella Hisingen","Salmonella Hisingen","NRL-Salm"
"Salmonella Hissar","Salmonella Hissar","NRL-Salm"
"Salmonella Hissar O:14+","Salmonella Hissar","NRL-Salm"
"Salmonella Hithergreen","Salmonella Hithergreen","NRL-Salm"
"Salmonella Hoboken","Salmonella Hoboken","NRL-Salm"
"Salmonella Hofit","Salmonella Hofit","NRL-Salm"
"Salmonella Hoghton","Salmonella Hoghton","NRL-Salm"
"Salmonella Holcomb","Salmonella Holcomb","NRL-Salm"
"Salmonella Homosassa","Salmonella Homosassa","NRL-Salm"
"Salmonella Honelis","Salmonella Honelis","NRL-Salm"
"Salmonella Honkong","Salmonella Honkong","NRL-Salm"
"Salmonella Horsham","Salmonella Horsham","NRL-Salm"
"Salmonella Huddinge","Salmonella Huddinge","NRL-Salm"
"Salmonella Huettwilen","Salmonella Huettwilen","NRL-Salm"
"Salmonella Hull","Salmonella Hull","NRL-Salm"
"Salmonella Huvudsta","Salmonella Huvudsta","NRL-Salm"
"Salmonella Huvudsta O:1,34+","Salmonella Huvudsta","NRL-Salm"
"Salmonella Hvittingfoss","Salmonella Hvittingfoss","NRL-Salm"
"Salmonella Hydra","Salmonella Hydra","NRL-Salm"
"Salmonella I 4,12:d:-","Salmonella I","NRL-Salm"
"Salmonella I 9,12:l,v:-","Salmonella I","NRL-Salm"
"Salmonella I o-b:h-Polyvalent","Salmonella I","NRL-Salm"
"Salmonella Ibadan","Salmonella Ibadan","NRL-Salm"
"Salmonella Ibaragi","Salmonella Ibaragi","NRL-Salm"
"Salmonella Idikan","Salmonella Idikan","NRL-Salm"
"Salmonella I-Form","Salmonella I-Form","NRL-Salm"
"Salmonella II 1,13,22:b:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,13,22:g,m,t:[1,5]","Salmonella II","NRL-Salm"
"Salmonella II 1,13,22:g,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,13,22:z10:z6","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:[z42]:1,[5],7","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:a:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:a:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:b:[1,5]:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:e,n,x:1,[5],7","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:g,[s],t:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:g,m,s,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:g,m,s,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:g,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:gm[s]t:[e,n,x]","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:l,z28:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:m,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:m,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:m,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:z:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:z29:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,13,23:z39:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 1,4,[5],12:f,gt:z6:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12,27:a:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12,27:b:[e,n,x]","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12,27:e,n,x:1,[5]7","Salmonella II","NRL-Salm"
